time;ms;data
11:17:45;30;11 02 00 1d 20 ef bf bd 26 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 07 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;35;6 02 00 1d 20 2f ef bf bd 20 20 00 00 20 20 58 31 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;94;12 02 00 1d 20 28 44 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;103;16 02 00 1d 20 ef bf bd 6f 20 20 00 00 20 20 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;152;15 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 47 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:45;208;17 02 00 1d 20 35 ef bf bd 20 20 00 00 20 20 ef bf bd 12 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;271;3 02 00 1d 20 ef bf bd 0b 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:45;324;7 02 00 1d 20 34 45 20 20 00 00 20 20 32 36 20 20 30 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;356;2 02 00 1d 20 0e ef bf bd 20 20 00 00 20 20 71 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;403;19 02 00 1d 20 03
11:17:45;417;5 02 00 1d 20 2a ef bf bd 20 20 00 00 20 20 ef bf bd 28 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;460;18 02 00 1d 20 1e ef bf bd 20 20 00 00 20 20 6d ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;492;4 02 00 1d 20 58 ef bf bd 20 20 00 00 20 20 04 52 20 20 55 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;507;1 02 00 1d 20 ef bf bd 20 20 00 00 20 20 75 ef bf bd 20 20 58 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;523;8 02 00 1d 20 1c 44 20 20 00 00 20 20 ef bf bd 5b 20 20 0b 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;560;16 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 7f 79 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;586;10 02 00 1d 20 ef bf bd 2e 20 20 00 00 20 20 6a 02 20 20 21 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;600;14 02 00 1d 20 3e 4d 20 20 00 00 20 20 ef bf bd 31 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;629;11 02 00 1d 20 ef bf bd 0d 20 20 00 00 20 20 74 ef bf bd 20 20 74 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;649;7 02 00 1d 20 ef bf bd 04 20 20 00 00 20 20 55 3d 20 20 3b 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;696;9 02 00 1d 20 ef bf bd 67 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:45;734;6 02 00 1d 20 79 ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 6d 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;783;12 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 1f 15 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;835;3 02 00 1d 20 ef bf bd 7f 20 20 00 00 20 20 65 28 20 20 0e 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;868;15 02 00 1d 20 ef bf bd 04 20 20 00 00 20 20 19 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;903;5 02 00 1d 20 ef bf bd 3f 20 20 00 00 20 20 22 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:45;953;2 02 00 1d 20 60 ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:46;4;4 02 00 1d 20 1b ef bf bd 20 20 00 00 20 20 ef bf bd 28 20 20 00 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;37;14 02 00 1d 20 ef bf bd 5d 20 20 00 00 20 20 3d ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;65;18 02 00 1d 20 11 65 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;105;8 02 00 1d 20 00 0a 20 20 00 00 20 20 35 0a 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;105;19 02 00 1d 20 62 17 20 20 00 00 20 20 25 14 20 20 6f 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;156;1 02 00 1d 20 33 ef bf bd 20 20 00 00 20 20 ef bf bd 47 20 20 50 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;165;16 02 00 1d 20 73 0b 20 20 00 00 20 20 2c ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;199;10 02 00 1d 20 53 ef bf bd 20 20 00 00 20 20 32 ef bf bd 20 20 62 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;217;9 02 00 1d 20 ef bf bd 3e 20 20 00 00 20 20 db b4 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;246;11 02 00 1d 20 34 10 20 20 00 00 20 20 ef bf bd 4e 20 20 6e 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;268;3 02 00 1d 20 65 19 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 35 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;306;12 02 00 1d 20 ef bf bd 07 20 20 00 00 20 20 ef bf bd 2c 20 20 1c 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;359;15 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 37 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:46;394;7 02 00 1d 20 db 83 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;436;2 02 00 1d 20 ef bf bd 13 20 20 00 00 20 20 4f ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;468;19 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 69 20 20 2c 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;554;5 02 00 1d 20 ef bf bd 7f 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 01 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;590;14 02 00 1d 20 da b4 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 38 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;603;4 02 00 1d 20 ef bf bd 17 20 20 00 00 20 20 3d ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;625;18 02 00 1d 20 ef bf bd 25 20 20 00 00 20 20 6c ef bf bd 20 20 65 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;652;6 02 00 1d 20 63 ef bf bd 20 20 00 00 20 20 0c 72 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;665;1 02 00 1d 20 28 ef bf bd 20 20 00 00 20 20 0f ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;695;16 02 00 1d 20 47 30 20 20 00 00 20 20 35 ef bf bd 20 20 03
11:17:46;712;8 02 00 1d 20 dd a6 20 20 00 00 20 20 71 3d 20 20 46 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;775;10 02 00 1d 20 30 ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:46;820;9 02 00 1d 20 46 48 20 20 00 00 20 20 25 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;866;11 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 36 0c 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;919;12 02 00 1d 20 ef bf bd 5e 20 20 00 00 20 20 c2 ac 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;943;15 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 68 ef bf bd 20 20 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:46;991;3 02 00 1d 20 37 ef bf bd 20 20 00 00 20 20 ef bf bd 61 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;24;7 02 00 1d 20 ef bf bd 78 20 20 00 00 20 20 05 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:47;65;2 02 00 1d 20 37 63 20 20 00 00 20 20 ef bf bd 2c 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
