time;ms;channel;data
14:37:00;8;800902;00 1D 20 EF BF BD 4D 20 20 00 00 20 20 C3 98 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:00;9;801602;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 6F EF BF BD 20 20 79 20 20 20 20 20 20 20 20 20
14:37:00;23;801102;00 1D 20 66 21 20 20 00 00 20 20 0E 3A 20 20 65 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
14:37:00;85;801102;00 1D 20 EF BF BD 52 20 20 00 00 20 20 18 EF BF BD 20 20 26 20 20 20 20 20 20 20 20 20 20 20
14:37:00;86;800402;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 13 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:00;89;800802;00 1D 20 EF BF BD 36 20 20 00 00 20 20 EF BF BD 6D 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:00;89;801602;00 1D 20 77 EF BF BD 20 20 00 00 20 20 25 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:00;100;801402;00 1D 20 37 EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 54 20 20 20 20 20 20 20 20 20
14:37:00;147;801102;00 1D 20 35 7E 20 20 00 00 20 20 EF BF BD 7C 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:00;149;800402;00 1D 20 EF BF BD 12 20 20 00 00 20 20 21 EF BF BD 20 20 2E 20 20 20 20 20 20 20 20 20 20 20
14:37:00;150;801602;00 1D 20 03 7B 20 20 00 00 20 20 11 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:00;164;801902;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 2D 20 20 20 20 20 20 20
14:37:00;490;801502;00 1D 20 59 7D 20 20 00 00 20 20 EF BF BD 44 20 20 76 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:00;491;801602;00 1D 20 52 17 20 20 00 00 20 20 16 73 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:00;528;801902;00 1D 20 EF BF BD 7C 20 20 00 00 20 20 26 6A 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:00;533;800802;00 1D 20 64 63 20 20 00 00 20 20 31 55 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:00;586;801602;00 1D 20 53 43 20 20 00 00 20 20 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20
14:37:00;586;800402;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 1D 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:00;625;801902;00 1D 20 EF BF BD 7F 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:00;638;800802;00 1D 20 28 EF BF BD 20 20 00 00 20 20 69 26 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:00;639;801102;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 6D 20 20 3F 20 20 20 20 20 20 20 20 20
14:37:00;679;801602;00 1D 20 5C 43 20 20 00 00 20 20 EF BF BD 62 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:00;687;800402;00 1D 20 6D 71 20 20 00 00 20 20 28 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:00;779;801102;00 1D 20 6A 3F 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:00;786;800802;00 1D 20 33 1A 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:00;786;801902;00 1D 20 14 13 20 20 00 00 20 20 79 21 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:00;788;801602;00 1D 20 D0 A5 20 20 00 00 20 20 39 5D 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:00;791;801502;00 1D 20 04 EF BF BD 20 20 00 00 20 20 6E EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:00;884;800802;00 1D 20 2C 5C 20 20 00 00 20 20 6A 30 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:00;901;801602;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20
14:37:00;906;800402;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 44 20 20 20 20 20 20 20
14:37:01;32;801602;00 1D 20 3C 4C 20 20 00 00 20 20 7C EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:01;37;800402;00 1D 20 6F 09 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:01;42;800802;00 1D 20 D7 82 20 20 00 00 20 20 EF BF BD 5B 20 20 5A 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;43;801502;00 1D 20 7A EF BF BD 20 20 00 00 20 20 2F EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:01;43;801102;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 54 20 20 04 20 20 20 20 20 20 20 20 20
